instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
665,31-01-2011,1,0,1,0,FALSE,1,2,0.24,0.2273,0.65,0.2239,1,6,7
666,31-01-2011,1,0,1,1,FALSE,1,1,0.22,0.2121,0.64,0.2537,2,5,7
667,31-01-2011,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1,1
668,31-01-2011,1,0,1,3,FALSE,1,1,0.22,0.2273,0.64,0.194,0,2,2
669,31-01-2011,1,0,1,4,FALSE,1,1,0.2,0.197,0.59,0.2239,0,2,2
670,31-01-2011,1,0,1,5,FALSE,1,1,0.18,0.1667,0.64,0.2836,0,8,8
671,31-01-2011,1,0,1,6,FALSE,1,1,0.16,0.1364,0.69,0.3284,0,37,37
672,31-01-2011,1,0,1,7,FALSE,1,2,0.16,0.1364,0.64,0.2836,1,71,72
673,31-01-2011,1,0,1,8,FALSE,1,2,0.16,0.1364,0.59,0.2836,3,182,185
674,31-01-2011,1,0,1,9,FALSE,1,2,0.16,0.1364,0.59,0.2985,0,112,112
675,31-01-2011,1,0,1,10,FALSE,1,2,0.16,0.1515,0.59,0.194,1,68,69
676,31-01-2011,1,0,1,11,FALSE,1,2,0.16,0.1515,0.59,0.194,2,46,48
677,31-01-2011,1,0,1,12,FALSE,1,2,0.18,0.2121,0.55,0.1045,6,62,68
678,31-01-2011,1,0,1,13,FALSE,1,2,0.16,0.2273,0.59,0,2,52,54
679,31-01-2011,1,0,1,14,FALSE,1,2,0.18,0.197,0.55,0.1343,1,85,86
680,31-01-2011,1,0,1,15,FALSE,1,2,0.16,0.1818,0.59,0.1343,3,41,44
681,31-01-2011,1,0,1,16,FALSE,1,2,0.16,0.1818,0.56,0.194,3,83,86
682,31-01-2011,1,0,1,17,FALSE,1,2,0.16,0.1515,0.59,0.194,6,155,161
683,31-01-2011,1,0,1,18,FALSE,1,2,0.16,0.1515,0.55,0.2239,3,153,156
684,31-01-2011,1,0,1,19,FALSE,1,1,0.3,0.3182,0.61,0.1045,3,108,111
685,31-01-2011,1,0,1,20,FALSE,1,3,0.16,0.1667,0.59,0.1642,0,78,78
686,31-01-2011,1,0,1,21,FALSE,1,3,0.16,0.197,0.59,0.0896,3,53,56
687,31-01-2011,1,0,1,22,FALSE,1,2,0.16,0.1818,0.59,0.1045,0,34,34
688,31-01-2011,1,0,1,23,FALSE,1,2,0.16,0.197,0.64,0.0896,2,15,17
689,01-02-2011,1,0,2,0,FALSE,2,2,0.16,0.1818,0.64,0.1045,2,6,8
690,01-02-2011,1,0,2,1,FALSE,2,2,0.16,0.1818,0.69,0.1045,0,3,3
691,01-02-2011,1,0,2,2,FALSE,2,2,0.16,0.2273,0.69,0,0,2,2
692,01-02-2011,1,0,2,3,FALSE,2,2,0.16,0.2273,0.69,0,0,2,2
693,01-02-2011,1,0,2,5,FALSE,2,3,0.14,0.2121,0.93,0,0,3,3
694,01-02-2011,1,0,2,6,FALSE,2,3,0.14,0.2121,0.93,0,0,22,22
695,01-02-2011,1,0,2,7,FALSE,2,3,0.16,0.2273,0.93,0,0,52,52
696,01-02-2011,1,0,2,8,FALSE,2,3,0.16,0.2273,0.93,0,3,132,135
697,01-02-2011,1,0,2,9,FALSE,2,2,0.16,0.2273,0.93,0,2,114,116
698,01-02-2011,1,0,2,10,FALSE,2,2,0.16,0.2273,0.93,0,0,47,47
699,01-02-2011,1,0,2,11,FALSE,2,2,0.18,0.2424,0.86,0,2,49,51
700,01-02-2011,1,0,2,12,FALSE,2,2,0.2,0.2576,0.86,0,2,53,55
701,01-02-2011,1,0,2,13,FALSE,2,2,0.2,0.2576,0.86,0,3,49,52
702,01-02-2011,1,0,2,14,FALSE,2,2,0.22,0.2576,0.8,0.0896,5,49,54
703,01-02-2011,1,0,2,15,FALSE,2,2,0.24,0.2879,0.75,0,7,45,52
704,01-02-2011,1,0,2,16,FALSE,2,2,0.24,0.2424,0.75,0.1343,3,61,64
705,01-02-2011,1,0,2,17,FALSE,2,2,0.24,0.2879,0.75,0,4,172,176
706,01-02-2011,1,0,2,18,FALSE,2,2,0.24,0.2576,0.81,0.1045,3,165,168
707,01-02-2011,1,0,2,19,FALSE,2,2,0.24,0.2424,0.81,0.1343,3,105,108
708,01-02-2011,1,0,2,20,FALSE,2,2,0.22,0.2273,0.87,0.1343,5,69,74
709,01-02-2011,1,0,2,21,FALSE,2,2,0.22,0.2273,0.87,0.1343,0,64,64
710,01-02-2011,1,0,2,22,FALSE,2,2,0.22,0.2576,0.87,0.0896,2,34,36
711,01-02-2011,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15,16
712,02-02-2011,1,0,2,0,FALSE,3,3,0.22,0.2424,0.93,0.1045,0,2,2
713,02-02-2011,1,0,2,1,FALSE,3,3,0.22,0.2273,0.93,0.194,0,3,3
714,02-02-2011,1,0,2,2,FALSE,3,3,0.22,0.2273,0.93,0.1343,4,0,4
715,02-02-2011,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1,1
716,02-02-2011,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1,1
717,02-02-2011,1,0,2,5,FALSE,3,3,0.22,0.2424,0.93,0.1045,0,3,3
718,02-02-2011,1,0,2,6,FALSE,3,3,0.22,0.2424,0.93,0.1045,1,17,18
719,02-02-2011,1,0,2,7,FALSE,3,3,0.22,0.2121,0.93,0.2239,1,48,49
720,02-02-2011,1,0,2,8,FALSE,3,3,0.22,0.2121,0.93,0.2239,1,154,155
721,02-02-2011,1,0,2,9,FALSE,3,2,0.24,0.2576,0.93,0.0896,4,119,123
722,02-02-2011,1,0,2,10,FALSE,3,2,0.22,0.2727,1,0,2,59,61
723,02-02-2011,1,0,2,11,FALSE,3,2,0.24,0.2273,0.93,0.194,5,47,52
724,02-02-2011,1,0,2,12,FALSE,3,2,0.24,0.2273,0.93,0.2239,3,61,64
725,02-02-2011,1,0,2,13,FALSE,3,1,0.34,0.3333,0.93,0.1642,1,74,75
726,02-02-2011,1,0,2,14,FALSE,3,1,0.38,0.3939,0.82,0.3881,2,61,63
727,02-02-2011,1,0,2,15,FALSE,3,1,0.38,0.3939,0.76,0.3284,10,66,76
728,02-02-2011,1,0,2,16,FALSE,3,1,0.36,0.3333,0.71,0.2985,8,95,103
729,02-02-2011,1,0,2,17,FALSE,3,1,0.36,0.3182,0.53,0.5224,7,183,190
730,02-02-2011,1,0,2,18,FALSE,3,1,0.34,0.2879,0.42,0.5522,7,175,182
731,02-02-2011,1,0,2,19,FALSE,3,1,0.28,0.2424,0.45,0.4925,3,88,91
732,02-02-2011,1,0,2,20,FALSE,3,1,0.24,0.197,0.48,0.5522,4,71,75
733,02-02-2011,1,0,2,21,FALSE,3,1,0.22,0.197,0.47,0.3284,1,62,63
734,02-02-2011,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35,40
735,02-02-2011,1,0,2,23,FALSE,3,1,0.2,0.1667,0.44,0.4478,3,29,32
736,03-02-2011,1,0,2,0,FALSE,4,1,0.2,0.1667,0.4,0.4478,1,11,12
737,03-02-2011,1,0,2,1,FALSE,4,1,0.2,0.1515,0.44,0.5224,0,5,5
738,03-02-2011,1,0,2,2,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,2,2
739,03-02-2011,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1,1
740,03-02-2011,1,0,2,5,FALSE,4,1,0.16,0.1364,0.5,0.2985,0,2,2
741,03-02-2011,1,0,2,6,FALSE,4,1,0.16,0.1364,0.43,0.3582,0,39,39
742,03-02-2011,1,0,2,7,FALSE,4,1,0.14,0.1212,0.5,0.3284,1,86,87
743,03-02-2011,1,0,2,8,FALSE,4,1,0.14,0.1212,0.5,0.3582,4,184,188
744,03-02-2011,1,0,2,9,FALSE,4,1,0.16,0.1364,0.47,0.2985,6,127,133
745,03-02-2011,1,0,2,10,FALSE,4,1,0.18,0.1515,0.43,0.3284,2,50,52
746,03-02-2011,1,0,2,11,FALSE,4,1,0.18,0.1364,0.43,0.4478,9,55,64
747,03-02-2011,1,0,2,12,FALSE,4,1,0.2,0.1818,0.4,0.3582,2,67,69
748,03-02-2011,1,0,2,13,FALSE,4,1,0.2,0.1667,0.4,0.4179,4,47,51
749,03-02-2011,1,0,2,14,FALSE,4,1,0.22,0.197,0.37,0.3881,4,43,47
750,03-02-2011,1,0,2,15,FALSE,4,1,0.22,0.197,0.37,0.3284,4,56,60
751,03-02-2011,1,0,2,16,FALSE,4,1,0.22,0.2121,0.37,0.2537,5,73,78
752,03-02-2011,1,0,2,17,FALSE,4,1,0.2,0.197,0.4,0.194,5,170,175
753,03-02-2011,1,0,2,18,FALSE,4,1,0.2,0.2121,0.4,0.1642,2,145,147
754,03-02-2011,1,0,2,19,FALSE,4,1,0.2,0.2576,0.4,0,4,92,96
755,03-02-2011,1,0,2,20,FALSE,4,1,0.2,0.2273,0.47,0.0896,1,108,109
756,03-02-2011,1,0,2,21,FALSE,4,1,0.18,0.2121,0.55,0.1045,1,53,54
757,03-02-2011,1,0,2,22,FALSE,4,1,0.18,0.2121,0.51,0.0896,2,39,41
758,03-02-2011,1,0,2,23,FALSE,4,1,0.2,0.2273,0.47,0.1045,4,34,38
759,04-02-2011,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10,13
760,04-02-2011,1,0,2,1,FALSE,5,2,0.16,0.2273,0.59,0,0,7,7
761,04-02-2011,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1,1
762,04-02-2011,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1,1
763,04-02-2011,1,0,2,5,FALSE,5,2,0.14,0.1515,0.63,0.1343,0,7,7
764,04-02-2011,1,0,2,6,FALSE,5,2,0.16,0.2273,0.55,0,2,26,28
765,04-02-2011,1,0,2,7,FALSE,5,1,0.14,0.2121,0.59,0,0,87,87
766,04-02-2011,1,0,2,8,FALSE,5,1,0.14,0.1515,0.74,0.1343,3,217,220
767,04-02-2011,1,0,2,9,FALSE,5,2,0.16,0.1818,0.8,0.1343,3,124,127
768,04-02-2011,1,0,2,10,FALSE,5,2,0.2,0.2121,0.51,0.1343,5,46,51
769,04-02-2011,1,0,2,11,FALSE,5,1,0.22,0.2273,0.51,0.1642,3,61,64
770,04-02-2011,1,0,2,12,FALSE,5,2,0.24,0.2424,0.48,0.1642,8,78,86
771,04-02-2011,1,0,2,13,FALSE,5,2,0.26,0.2576,0.5,0.2239,9,73,82
772,04-02-2011,1,0,2,14,FALSE,5,2,0.28,0.2727,0.45,0.1642,15,76,91
773,04-02-2011,1,0,2,15,FALSE,5,2,0.28,0.2727,0.48,0.2537,9,81,90
774,04-02-2011,1,0,2,16,FALSE,5,2,0.3,0.2879,0.42,0.2239,8,91,99
775,04-02-2011,1,0,2,17,FALSE,5,2,0.26,0.2727,0.56,0.1343,10,195,205
776,04-02-2011,1,0,2,18,FALSE,5,2,0.24,0.2576,0.6,0.1045,3,152,155
777,04-02-2011,1,0,2,19,FALSE,5,2,0.24,0.2424,0.65,0.1343,1,102,103
778,04-02-2011,1,0,2,20,FALSE,5,2,0.24,0.2424,0.65,0.1642,2,69,71
779,04-02-2011,1,0,2,21,FALSE,5,2,0.24,0.2424,0.7,0.1642,2,41,43
780,04-02-2011,1,0,2,22,FALSE,5,2,0.24,0.2424,0.65,0.1642,1,45,46
781,04-02-2011,1,0,2,23,FALSE,5,2,0.24,0.2424,0.7,0.1343,1,30,31
782,05-02-2011,1,0,2,0,FALSE,6,2,0.24,0.2424,0.7,0.1642,3,36,39
783,05-02-2011,1,0,2,1,FALSE,6,2,0.24,0.2424,0.65,0.1642,1,17,18
784,05-02-2011,1,0,2,2,FALSE,6,2,0.24,0.2424,0.75,0.1642,5,12,17
785,05-02-2011,1,0,2,3,FALSE,6,2,0.24,0.2424,0.75,0.1642,1,10,11
786,05-02-2011,1,0,2,4,FALSE,6,3,0.22,0.2273,0.93,0.1343,0,8,8
787,05-02-2011,1,0,2,5,FALSE,6,3,0.2,0.2273,1,0.0896,0,9,9
788,05-02-2011,1,0,2,6,FALSE,6,3,0.2,0.2576,1,0,0,4,4
789,05-02-2011,1,0,2,7,FALSE,6,3,0.22,0.2576,0.93,0.0896,0,4,4
790,05-02-2011,1,0,2,8,FALSE,6,3,0.2,0.2273,1,0.0896,0,10,10
791,05-02-2011,1,0,2,9,FALSE,6,3,0.2,0.2273,1,0.0896,3,17,20
792,05-02-2011,1,0,2,10,FALSE,6,3,0.2,0.2121,1,0.1343,3,31,34
793,05-02-2011,1,0,2,11,FALSE,6,3,0.22,0.2273,1,0.1343,1,46,47
794,05-02-2011,1,0,2,12,FALSE,6,3,0.22,0.2273,1,0.1642,10,42,52
795,05-02-2011,1,0,2,13,FALSE,6,3,0.22,0.2273,1,0.1642,10,62,72
796,05-02-2011,1,0,2,14,FALSE,6,3,0.22,0.2727,1,0,5,50,55
797,05-02-2011,1,0,2,15,FALSE,6,3,0.22,0.2727,1,0,11,49,60
798,05-02-2011,1,0,2,16,FALSE,6,3,0.22,0.2273,1,0.1343,8,63,71
799,05-02-2011,1,0,2,17,FALSE,6,2,0.24,0.2121,1,0.2836,14,64,78
800,05-02-2011,1,0,2,18,FALSE,6,2,0.28,0.2424,0.93,0.4478,2,81,83
801,05-02-2011,1,0,2,19,FALSE,6,2,0.28,0.2424,0.93,0.4478,6,78,84
802,05-02-2011,1,0,2,20,FALSE,6,1,0.3,0.2879,0.87,0.2537,5,64,69
803,05-02-2011,1,0,2,21,FALSE,6,1,0.26,0.2576,1,0.194,3,53,56
804,05-02-2011,1,0,2,22,FALSE,6,1,0.26,0.2727,0.93,0.1343,2,43,45
805,05-02-2011,1,0,2,23,FALSE,6,1,0.26,0.2576,0.93,0.2239,7,52,59
806,06-02-2011,1,0,2,0,FALSE,0,1,0.26,0.2576,0.7,0.194,2,37,39
807,06-02-2011,1,0,2,1,FALSE,0,1,0.26,0.2273,0.65,0.4179,4,40,44
808,06-02-2011,1,0,2,2,FALSE,0,1,0.26,0.2273,0.6,0.3284,0,20,20
809,06-02-2011,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10,13
810,06-02-2011,1,0,2,4,FALSE,0,1,0.26,0.2273,0.6,0.3582,0,2,2
811,06-02-2011,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1,1
812,06-02-2011,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1,1
813,06-02-2011,1,0,2,7,FALSE,0,1,0.24,0.2424,0.65,0.1642,0,8,8
814,06-02-2011,1,0,2,8,FALSE,0,1,0.24,0.2576,0.65,0.1045,2,21,23
815,06-02-2011,1,0,2,9,FALSE,0,1,0.28,0.2879,0.56,0.1045,7,38,45
816,06-02-2011,1,0,2,10,FALSE,0,1,0.3,0.2879,0.52,0.2537,15,74,89
817,06-02-2011,1,0,2,11,FALSE,0,1,0.32,0.303,0.49,0.2537,28,89,117
818,06-02-2011,1,0,2,12,FALSE,0,1,0.34,0.3333,0.46,0,48,126,174
819,06-02-2011,1,0,2,13,FALSE,0,1,0.34,0.3636,0.46,0,47,135,182
820,06-02-2011,1,0,2,14,FALSE,0,1,0.34,0.3485,0.46,0.0896,47,114,161
821,06-02-2011,1,0,2,15,FALSE,0,1,0.34,0.3485,0.46,0.0896,52,130,182
822,06-02-2011,1,0,2,16,FALSE,0,1,0.34,0.3485,0.49,0.1045,42,115,157
823,06-02-2011,1,0,2,17,FALSE,0,1,0.34,0.3636,0.46,0,24,97,121
824,06-02-2011,1,0,2,18,FALSE,0,1,0.3,0.303,0.56,0.1642,13,65,78
825,06-02-2011,1,0,2,19,FALSE,0,1,0.28,0.2879,0.61,0.1343,1,20,21
826,06-02-2011,1,0,2,20,FALSE,0,1,0.28,0.2879,0.61,0.1045,5,21,26
827,06-02-2011,1,0,2,21,FALSE,0,1,0.26,0.303,0.6,0,5,22,27
828,06-02-2011,1,0,2,22,FALSE,0,1,0.26,0.303,0.6,0,5,57,62
829,06-02-2011,1,0,2,23,FALSE,0,1,0.24,0.2879,0.65,0,4,26,30
830,07-02-2011,1,0,2,0,FALSE,1,1,0.24,0.2879,0.65,0,1,14,15
831,07-02-2011,1,0,2,1,FALSE,1,1,0.22,0.2727,0.75,0,1,4,5
832,07-02-2011,1,0,2,2,FALSE,1,1,0.2,0.2576,0.8,0,0,3,3
833,07-02-2011,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1,1
834,07-02-2011,1,0,2,4,FALSE,1,1,0.2,0.2576,0.86,0,1,1,2
835,07-02-2011,1,0,2,5,FALSE,1,1,0.2,0.2576,0.86,0,1,9,10
836,07-02-2011,1,0,2,6,FALSE,1,1,0.18,0.2424,0.93,0,1,29,30
837,07-02-2011,1,0,2,7,FALSE,1,1,0.18,0.2424,0.86,0,6,89,95
838,07-02-2011,1,0,2,8,FALSE,1,2,0.16,0.2273,1,0,7,223,230
839,07-02-2011,1,0,2,9,FALSE,1,1,0.22,0.2727,0.8,0,3,115,118
840,07-02-2011,1,0,2,10,FALSE,1,1,0.24,0.2576,0.75,0.1045,6,49,55
841,07-02-2011,1,0,2,11,FALSE,1,1,0.3,0.3182,0.65,0.0896,11,36,47
842,07-02-2011,1,0,2,12,FALSE,1,2,0.32,0.3485,0.62,0,7,59,66
843,07-02-2011,1,0,2,13,FALSE,1,2,0.36,0.3636,0.57,0.0896,10,54,64
844,07-02-2011,1,0,2,14,FALSE,1,2,0.36,0.3636,0.57,0.0896,8,52,60
845,07-02-2011,1,0,2,15,FALSE,1,2,0.38,0.3939,0.54,0.0896,4,46,50
846,07-02-2011,1,0,2,16,FALSE,1,2,0.36,0.3485,0.57,0.1343,16,98,114
847,07-02-2011,1,0,2,17,FALSE,1,2,0.32,0.3182,0.7,0.1642,9,207,216
848,07-02-2011,1,0,2,18,FALSE,1,2,0.34,0.3333,0.66,0.1343,5,170,175
849,07-02-2011,1,0,2,19,FALSE,1,2,0.32,0.3485,0.7,0,5,123,128
850,07-02-2011,1,0,2,20,FALSE,1,2,0.32,0.3333,0.7,0.1045,6,82,88
851,07-02-2011,1,0,2,21,FALSE,1,1,0.32,0.3485,0.7,0,3,75,78
852,07-02-2011,1,0,2,22,FALSE,1,1,0.28,0.303,0.81,0.0896,3,34,37
853,07-02-2011,1,0,2,23,FALSE,1,2,0.3,0.3333,0.81,0,6,19,25
854,08-02-2011,1,0,2,0,FALSE,2,2,0.28,0.3182,0.87,0,4,6,10
855,08-02-2011,1,0,2,1,FALSE,2,2,0.28,0.3182,0.87,0,0,4,4
856,08-02-2011,1,0,2,2,FALSE,2,2,0.26,0.2727,0.93,0.1045,1,1,2
857,08-02-2011,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1,1
858,08-02-2011,1,0,2,4,FALSE,2,1,0.26,0.2576,0.93,0.1642,0,3,3
859,08-02-2011,1,0,2,5,FALSE,2,1,0.26,0.2273,0.81,0.3284,0,2,2
860,08-02-2011,1,0,2,6,FALSE,2,1,0.26,0.2273,0.7,0.3284,0,39,39
861,08-02-2011,1,0,2,7,FALSE,2,1,0.24,0.197,0.65,0.4179,3,97,100
862,08-02-2011,1,0,2,8,FALSE,2,1,0.24,0.197,0.56,0.4925,7,236,243
863,08-02-2011,1,0,2,9,FALSE,2,1,0.24,0.197,0.52,0.4925,7,128,135
864,08-02-2011,1,0,2,10,FALSE,2,1,0.22,0.1818,0.47,0.5522,4,44,48
865,08-02-2011,1,0,2,11,FALSE,2,1,0.22,0.1818,0.47,0.4627,1,49,50
866,08-02-2011,1,0,2,12,FALSE,2,1,0.24,0.197,0.38,0.4925,2,63,65
867,08-02-2011,1,0,2,13,FALSE,2,2,0.24,0.197,0.32,0.4478,2,48,50
868,08-02-2011,1,0,2,14,FALSE,2,1,0.22,0.197,0.37,0.4179,3,61,64
869,08-02-2011,1,0,2,15,FALSE,2,1,0.22,0.197,0.35,0.3881,6,45,51
870,08-02-2011,1,0,2,16,FALSE,2,1,0.22,0.1818,0.35,0.5224,4,79,83
871,08-02-2011,1,0,2,17,FALSE,2,1,0.22,0.1818,0.32,0.5821,4,172,176
872,08-02-2011,1,0,2,18,FALSE,2,1,0.2,0.1818,0.32,0.3881,1,151,152
873,08-02-2011,1,0,2,19,FALSE,2,1,0.16,0.1212,0.4,0.4627,1,100,101
874,08-02-2011,1,0,2,20,FALSE,2,1,0.16,0.1364,0.4,0.3284,3,53,56
875,08-02-2011,1,0,2,21,FALSE,2,1,0.14,0.1061,0.33,0.4627,8,46,54
876,08-02-2011,1,0,2,22,FALSE,2,1,0.12,0.1061,0.33,0.3582,0,29,29
877,08-02-2011,1,0,2,23,FALSE,2,1,0.12,0.1061,0.33,0.3284,3,9,12
878,09-02-2011,1,0,2,0,FALSE,3,1,0.1,0.0758,0.36,0.3582,0,17,17
879,09-02-2011,1,0,2,1,FALSE,3,1,0.1,0.1061,0.36,0.2239,0,7,7
880,09-02-2011,1,0,2,2,FALSE,3,1,0.08,0.0758,0.38,0.2836,1,2,3
881,09-02-2011,1,0,2,3,FALSE,3,1,0.06,0.0758,0.45,0.1343,0,2,2
882,09-02-2011,1,0,2,5,FALSE,3,1,0.06,0.1061,0.45,0.1045,0,7,7
883,09-02-2011,1,0,2,6,FALSE,3,1,0.06,0.1515,0.45,0,0,43,43
884,09-02-2011,1,0,2,7,FALSE,3,1,0.06,0.1061,0.49,0.1045,4,95,99
885,09-02-2011,1,0,2,8,FALSE,3,1,0.1,0.1364,0.42,0,1,198,199
886,09-02-2011,1,0,2,9,FALSE,3,1,0.12,0.1364,0.39,0.1642,4,119,123
887,09-02-2011,1,0,2,10,FALSE,3,1,0.14,0.1818,0.36,0,8,51,59
888,09-02-2011,1,0,2,11,FALSE,3,2,0.14,0.1515,0.43,0.1642,1,40,41
889,09-02-2011,1,0,2,12,FALSE,3,2,0.18,0.1818,0.4,0.2239,4,57,61
890,09-02-2011,1,0,2,13,FALSE,3,1,0.18,0.1667,0.4,0.2537,2,67,69
891,09-02-2011,1,0,2,14,FALSE,3,1,0.2,0.1818,0.34,0.2985,2,56,58
892,09-02-2011,1,0,2,15,FALSE,3,2,0.2,0.1818,0.34,0.2836,3,61,64
893,09-02-2011,1,0,2,16,FALSE,3,2,0.2,0.197,0.37,0.2537,7,72,79
894,09-02-2011,1,0,2,17,FALSE,3,2,0.2,0.197,0.34,0.2537,9,157,166
895,09-02-2011,1,0,2,18,FALSE,3,2,0.18,0.1667,0.47,0.2985,2,168,170
896,09-02-2011,1,0,2,19,FALSE,3,3,0.14,0.1212,0.86,0.2537,1,87,88
897,09-02-2011,1,0,2,20,FALSE,3,3,0.14,0.1515,0.86,0.1642,0,84,84
898,09-02-2011,1,0,2,21,FALSE,3,2,0.14,0.1515,0.86,0.1642,0,83,83
899,09-02-2011,1,0,2,22,FALSE,3,3,0.16,0.1667,0.8,0.1642,4,42,46
900,09-02-2011,1,0,2,23,FALSE,3,3,0.16,0.1515,0.8,0.194,0,37,37
901,10-02-2011,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16,16
